SUMMARY
Total Turnover:,23,828
Total Balance:,+13
Total Profit/Loss:,-40

Batch ID,Test #,File,Seq Codes,Divisor,Bypass,c>7,A1 Wait,Always Bet,Div<1,Max Cap,Sequences,Turnover,Final Balance,Final Bank,Profit/Loss,Status,Success
20251117_151433,83,2011-12-04_160.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,39,62,10,252,2,ACTIVE,Yes
20251117_151433,84,2011-12-05_120.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,16,77,13,253,3,ACTIVE,Yes
20251117_151433,85,2011-12-06_134.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,20,69,12,253,3,ACTIVE,Yes
20251117_151433,86,2011-12-07_92.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,15,9,0,250,0,ACTIVE,Yes
20251117_151433,87,2011-12-08_199.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,27,244,17,254,4,ACTIVE,Yes
20251117_151433,88,2011-12-09_253.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,28,615,9,252,2,ACTIVE,No
20251117_151433,89,2011-12-11_227.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,37,124,17,254,4,ACTIVE,Yes
20251117_151433,90,2011-12-13_113.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,9,167,13,253,3,ACTIVE,Yes
20251117_151433,91,2011-12-14_153.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,17,171,-6,248,-2,ACTIVE,No
20251117_151433,92,2011-12-15_133.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,23,35,7,251,1,ACTIVE,Yes
20251117_151433,93,2011-12-16_132.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,22,50,4,251,1,ACTIVE,Yes
20251117_151433,94,2011-12-17_127.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,20,118,5,251,1,ACTIVE,Yes
20251117_151433,95,2011-12-18_190.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,26,193,20,255,5,ACTIVE,Yes
20251117_151433,96,2011-12-19_95.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,13,138,12,253,3,ACTIVE,Yes
20251117_151433,97,2011-12-23_185b.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,27,135,21,255,5,ACTIVE,Yes
20251117_151433,98,2011-12-23_281.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,35,276,33,258,8,ACTIVE,Yes
20251117_151433,99,2011-12-23_96a.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,9,141,12,253,3,ACTIVE,Yes
20251117_151433,100,2011-12-24_162.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,18,628,11,252,2,ACTIVE,Yes
20251117_151433,101,2011-12-25_171a.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,21,116,13,253,3,ACTIVE,Yes
20251117_151433,102,2011-12-25_45c.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,7,35,7,251,1,ACTIVE,Yes
20251117_151433,103,2011-12-25_95b.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,16,53,1,250,0,ACTIVE,Yes
